DateTime,Positive_reviews,Negative_reviews,Source
2022-12-07,137,44,ACV
2022-12-08,245,128,ACV
2022-12-09,155,122,ACV
2022-12-10,139,118,ACV
2022-12-11,152,106,ACV
2022-12-12,162,108,ACV
2022-12-13,115,101,ACV
2022-12-14,112,78,ACV
2022-12-15,0,0,ACV
2022-12-16,91,91,ACV
2022-12-17,149,149,ACV
2022-12-18,178,214,ACV
2022-12-19,205,162,ACV
2022-12-20,193,113,ACV
2022-12-21,87,45,ACV
2022-12-22,72,39,ACV
2022-12-23,113,52,ACV
2022-12-24,0,0,ACV
2022-12-25,84,39,ACV
2022-12-26,101,35,ACV
2022-12-27,75,41,ACV
2022-12-28,98,35,ACV
2022-12-29,90,38,ACV
2022-12-30,100,46,ACV
2022-12-31,0,0,ACV
2023-01-01,0,0,ACV
2023-01-02,159,84,ACV
2023-01-03,61,35,ACV
2023-01-04,65,20,ACV
2023-01-05,66,35,ACV
2023-01-06,54,24,ACV
2023-01-07,68,26,ACV
2023-01-08,0,0,ACV
2023-01-09,0,0,ACV
2023-01-10,103,59,ACV
2023-01-11,35,21,ACV
2023-01-12,30,16,ACV
2023-01-13,0,0,ACV
2023-01-14,61,36,ACV
2023-01-15,37,19,ACV
2023-01-16,29,16,ACV
2023-01-17,29,21,ACV
2023-01-18,22,16,ACV
2023-01-19,0,0,ACV
2023-01-20,0,0,ACV
2023-01-21,51,33,ACV
2023-01-22,28,17,ACV
2023-01-23,23,12,ACV
2023-01-24,19,16,ACV
2023-01-25,28,19,ACV
2023-01-26,0,0,ACV
2023-01-27,49,17,ACV
2023-01-28,35,24,ACV
2023-01-29,0,0,ACV
2023-01-30,33,16,ACV
2023-01-31,20,5,ACV
2023-02-01,13,6,ACV
2023-02-02,22,5,ACV
2023-02-03,33,8,ACV
2023-02-04,17,14,ACV
2023-02-05,35,9,ACV
2023-02-06,15,8,ACV
2023-02-07,14,11,ACV
2023-02-08,0,0,ACV
2023-02-09,8,9,ACV
2023-02-10,10,4,ACV
2023-02-11,24,8,ACV
2023-02-12,21,10,ACV
2023-02-13,12,7,ACV
2023-02-14,0,0,ACV
2023-02-15,0,0,ACV
2023-02-16,13,17,ACV
2023-02-17,14,11,ACV
2023-02-18,19,7,ACV
2023-02-19,15,0,ACV
2023-02-20,0,0,ACV
2023-02-21,22,9,ACV
2023-02-22,23,10,ACV
2023-02-23,17,1,ACV
2023-02-24,9,7,ACV
2023-02-25,18,5,ACV
2023-02-26,0,0,ACV
2023-02-27,19,9,ACV
2023-02-28,12,7,ACV
2023-03-01,11,4,ACV
2023-03-02,9,6,ACV
2023-03-03,21,8,ACV
2023-03-04,35,21,ACV
