DateTime,Followers,Source
2022-11-22,1185,ACV
2022-11-23,2003,ACV
2022-11-24,2375,ACV
2022-11-25,2619,ACV
2022-11-26,2878,ACV
2022-11-27,3142,ACV
2022-11-28,3340,ACV
2022-11-29,3554,ACV
2022-11-30,3873,ACV
2022-12-01,4175,ACV
2022-12-02,4570,ACV
2022-12-03,5005,ACV
2022-12-04,5384,ACV
2022-12-05,5743,ACV
2022-12-06,6179,ACV
2022-12-07,11693,ACV
2022-12-08,14626,ACV
2022-12-09,15981,ACV
2022-12-10,17117,ACV
2022-12-11,18113,ACV
2022-12-12,18964,ACV
2022-12-13,19721,ACV
2022-12-14,20319,ACV
2022-12-15,20774,ACV
2022-12-16,21419,ACV
2022-12-17,22064,ACV
2022-12-18,22689,ACV
2022-12-19,23211,ACV
2022-12-20,23676,ACV
2022-12-21,24083,ACV
2022-12-22,24396,ACV
2022-12-23,25401,ACV
2022-12-24,26199,ACV
2022-12-25,26738,ACV
2022-12-26,27280,ACV
2022-12-27,27821,ACV
2022-12-28,28198,ACV
2022-12-29,28514,ACV
2022-12-30,28838,ACV
2022-12-31,29167,ACV
2023-01-01,29432,ACV
2023-01-02,29774,ACV
2023-01-03,30103,ACV
2023-01-04,30401,ACV
2023-01-05,30709,ACV
2023-01-06,30906,ACV
2023-01-07,31053,ACV
2023-01-08,31213,ACV
2023-01-09,31336,ACV
2023-01-10,31439,ACV
2023-01-11,31534,ACV
2023-01-12,31599,ACV
2023-01-13,31665,ACV
2023-01-14,31740,ACV
2023-01-15,31822,ACV
2023-01-16,31901,ACV
2023-01-17,31971,ACV
2023-01-18,32035,ACV
2023-01-19,32087,ACV
2023-01-20,32161,ACV
2023-01-21,32228,ACV
2023-01-22,32310,ACV
2023-01-23,32397,ACV
2023-01-24,32453,ACV
2023-01-25,32519,ACV
2023-01-26,32584,ACV
2023-01-27,32655,ACV
2023-01-28,32727,ACV
2023-01-29,32797,ACV
2023-01-30,32871,ACV
2023-01-31,32928,ACV
2023-02-01,33015,ACV
2023-02-02,33066,ACV
2023-02-03,33133,ACV
2023-02-04,33187,ACV
2023-02-05,33258,ACV
2023-02-06,33339,ACV
2023-02-07,33404,ACV
2023-02-08,33454,ACV
2023-02-09,33500,ACV
2023-02-10,33561,ACV
2023-02-11,33629,ACV
2023-02-12,33702,ACV
2023-02-13,33768,ACV
2023-02-14,33818,ACV
2023-02-15,33878,ACV
2023-02-16,33927,ACV
2023-02-17,33955,ACV
2023-02-18,34015,ACV
2023-02-19,34073,ACV
2023-02-20,34122,ACV
2023-02-21,34170,ACV
2023-02-22,34220,ACV
2023-02-23,34266,ACV
