DateTime,Followers,Players,Twitch Viewers,Final price,Positive reviews,Negative reviews
2023-04-22 00:00:00,363.0,,121.0,,,
2023-04-23 00:00:00,741.0,,210.0,,,
2023-04-24 00:00:00,1180.0,,168.0,,,
2023-04-25 00:00:00,1606.0,,125.0,,,
2023-04-26 00:00:00,1865.0,,108.0,,,
2023-04-27 00:00:00,2064.0,,127.0,,,
2023-04-28 00:00:00,2236.0,,142.0,,,
2023-04-29 00:00:00,2422.0,,138.0,,,
2023-04-30 00:00:00,2625.0,,156.0,,,
2023-05-01 00:00:00,2805.0,,161.0,,,
2023-05-02 00:00:00,2985.0,,150.0,,,
2023-05-03 00:00:00,3118.0,,139.0,,,
2023-05-04 00:00:00,3231.0,,886.0,,,
2023-05-05 00:00:00,3371.0,,0.0,,,
2023-05-06 00:00:00,3533.0,,104.0,,,
2023-05-07 00:00:00,3707.0,,181.0,,,
2023-05-08 00:00:00,3867.0,,230.0,,,
2023-05-09 00:00:00,4092.0,,499.0,,,
2023-05-10 00:00:00,4305.0,,505.0,,,
2023-05-11 00:00:00,4515.0,1876.0,333.0,,,
2023-05-12 00:00:00,9354.0,7625.0,197.0,,,
2023-05-13 00:00:00,12187.0,14886.0,540.0,,528.0,-158.0
2023-05-14 00:00:00,13829.0,19238.0,327.0,,407.0,-189.0
2023-05-15 00:00:00,15048.0,16222.0,663.0,,328.0,-162.0
2023-05-16 00:00:00,15853.0,16502.0,617.0,,281.0,-147.0
2023-05-17 00:00:00,16514.0,16352.0,421.0,,252.0,-109.0
2023-05-18 00:00:00,17157.0,17577.0,536.0,,,
2023-05-19 00:00:00,17715.0,17111.0,392.0,,213.0,-107.0
2023-05-20 00:00:00,18160.0,19523.0,446.0,,194.0,-107.0
2023-05-21 00:00:00,18526.0,20080.0,322.0,,222.0,-141.0
2023-05-22 00:00:00,18855.0,14619.0,541.0,,223.0,-103.0
2023-05-23 00:00:00,19173.0,13852.0,251.0,,193.0,-92.0
2023-05-24 00:00:00,19417.0,13000.0,458.0,,,
2023-05-25 00:00:00,19649.0,12532.0,407.0,,,
2023-05-26 00:00:00,19853.0,12654.0,408.0,,312.0,-162.0
2023-05-27 00:00:00,20009.0,13651.0,349.0,,116.0,-78.0
2023-05-28 00:00:00,20148.0,13610.0,443.0,,140.0,-69.0
2023-05-29 00:00:00,20263.0,11816.0,341.0,,116.0,-65.0
2023-05-30 00:00:00,20362.0,8714.0,358.0,,,
2023-05-31 00:00:00,20441.0,7951.0,247.0,,96.0,-51.0
2023-06-01 00:00:00,20513.0,7058.0,311.0,,82.0,-32.0
2023-06-02 00:00:00,20570.0,7319.0,290.0,,89.0,-29.0
2023-06-03 00:00:00,20636.0,8385.0,234.0,,73.0,-39.0
2023-06-04 00:00:00,20721.0,8756.0,498.0,,91.0,-44.0
2023-06-05 00:00:00,20768.0,6155.0,341.0,,,
2023-06-06 00:00:00,20835.0,5635.0,186.0,,64.0,-35.0
2023-06-07 00:00:00,20868.0,5070.0,242.0,,54.0,-15.0
2023-06-08 00:00:00,20933.0,5097.0,663.0,,55.0,-24.0
2023-06-09 00:00:00,20987.0,4992.0,280.0,,59.0,-25.0
2023-06-10 00:00:00,21048.0,5873.0,318.0,,57.0,-26.0
2023-06-11 00:00:00,21100.0,6001.0,258.0,,,
2023-06-12 00:00:00,21155.0,4148.0,785.0,,46.0,-23.0
2023-06-13 00:00:00,21197.0,3895.0,221.0,,37.0,-12.0
2023-06-14 00:00:00,21241.0,3428.0,4583.0,,35.0,-18.0
2023-06-15 00:00:00,21282.0,3197.0,489.0,,28.0,-21.0
2023-06-16 00:00:00,21336.0,3387.0,147.0,,35.0,-28.0
2023-06-17 00:00:00,21378.0,4260.0,182.0,,,
